taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern
190809042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190810041,S2253+3130,343.420833,31.5125,23456789ABCD,41400,good,square_39p1
190811041,S1409+5058,212.3875,50.969167,23456789ABCD,41400,good,square_39p1
190822046,S1025+5550,156.35,55.833333,23456789ABCD,41400,good,square_39p1
190822047,S2204+3848,331.0125,38.808889,23456789ABCD,41400,good,square_39p1
190823041,S1258+6041,194.683333,60.6975,23456789ABCD,41400,good,square_39p1
190823042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190824041,S2154+4606,328.725,46.105,23456789ABCD,41400,good,square_39p1
190906044,S1025+5550,156.35,55.833333,23456789ABCD,41400,good,square_39p1
190906045,S2204+3848,331.0125,38.808889,23456789ABCD,41400,good,square_39p1
190907041,S1342+6041,205.591666666667,60.6975,23456789ABCD,41400,good,square_39p1
190907042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190908041,S2201+4340,330.304166666667,43.6730555555555,23456789ABCD,41040,good,square_39p1
190913045,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
190913046,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
190914041,S2332+3130,353.15,31.5125,23456789ABCD,41400,good,square_39p1
190915041,S1435+5550,218.75,55.833333,23456789ABCD,41400,good,square_39p1
190915042,M0209+3622,32.254167,36.376667,23456789ABCD,41400,good,square_39p1
190919048,S1305+5815,196.4625,58.265556,23456789ABCD,41400,good,square_39p1
190919049,M0155+3356,28.829167,33.944444,23456789ABCD,41400,good,square_39p1
190920041,S2345+3130,356.395833,31.5125,23456789ABCD,41400,good,square_39p1
190921041,S1454+5550,223.55,55.833333,23456789ABCD,41400,good,square_39p1
190921042,S0218+3848,34.541667,38.808889,23456789ABCD,41400,good,square_39p1
190922041,S2240+3130,340.179167,31.5125,23456789ABCD,41400,good,square_39p1
191003042,S1102+5815,165.604167,58.265556,23456789ABCD,41400,good,square_39p1
191003043,S2235+3356,338.829167,33.944444,23456789ABCD,41400,good,square_39p1
191004041,S1346+5815,206.745833,58.265556,23456789ABCD,41400,good,square_39p1
191004042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
191005041,S2207+4114,331.7625,41.240833,23456789ABCD,41400,good,square_39p1
191006041,S1259+5550,194.75,55.833333,23456789ABCD,41400,good,square_39p1
191006058,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1
191009038,S1041+5058,160.3375,50.969167,23456789ABCD,41400,good,square_39p1
191009039,S2221+3356,335.495833,33.944444,23456789ABCD,41400,good,square_39p1
191010041,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
191010042,M0142+3130,25.583333,31.5125,23456789ABCD,41400,good,square_39p1
191011041,S2210+4606,332.679167,46.105,23456789ABCD,41400,good,square_39p1
191012041,S1318+5550,199.55,55.833333,23456789ABCD,41400,good,square_39p1
191012042,M0141+3356,25.495833,33.944444,23456789ABCD,41400,good,square_39p1
191013041,S2215+3622,333.970833,36.376667,23456789ABCD,41400,good,square_39p1
191014041,S1320+6041,200.1375,60.6975,23456789ABCD,41400,good,square_39p1
191024043,S1402+3622,210.541667,36.376667,23456789ABCD,41400,good,square_39p1
191024044,M0155+3622,28.829167,36.376667,23456789ABCD,43082,good,square_39p1
191025081,M0155+3622,28.829167,36.376667,23456789ABCD,43082,good,square_39p1
191026001,S1408+3356,212.1625,33.944444,23456789ABCD,41286,good,square_39p1
191027043,S1401+3130,210.45,31.5125,23456789ABCD,41286,good,square_39p1
191027044,M0155+3622,28.829167,36.376667,23456789ABCD,41045,good,square_39p1
191031242,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191101041,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191102001,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
191103033,S1414+3130,213.691667,31.5125,23456789ABCD,41400,good,square_39p1
191103034,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191113139,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191114041,S2216+4340,334.095833,43.673056,23456789ABCD,41400,good,square_39p1
191115040,M1304+2904,196.195833,29.080278,23456789ABCD,41400,good,square_39p1
191115041,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191116041,S2218+3848,334.541667,38.808889,23456789ABCD,41400,good,square_39p1
191117038,M1317+2904,199.354167,29.080278,23456789ABCD,41400,good,square_39p1
191117039,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191120096,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1
191121046,S2221+4114,335.395833,41.240833,23456789ABCD,41400,good,square_39p1
191122035,M1309+3130,197.475,31.5125,23456789ABCD,41400,good,square_39p1
191122036,M0209+3622,32.254167,36.376667,23456789ABCD,41400,good,square_39p1
191123047,S2229+3622,337.4,36.376667,23456789ABCD,41400,good,square_39p1
191124035,M1330+2904,202.5125,29.080278,23456789ABCD,41400,good,square_39p1
191124036,M0209+3622,32.254167,36.376667,23456789ABCD,41400,good,square_39p1
191125047,S2232+3848,338.070833,38.808889,23456789ABCD,41400,good,square_39p1
191207034,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
191207035,M0155+3356,28.829167,33.944444,23456789ABCD,41400,good,square_39p1
191208041,S2236+4114,339.033333,41.240833,23456789ABCD,41400,good,square_39p1
191209025,M1342+2904,205.670833,29.080278,23456789ABCD,41400,good,square_39p1
191209026,S0129+3130,22.341667,31.5125,23456789ABCD,41400,good,square_39p1
191216159,L1035+5720,158.75,57.333333,23456789ABCD,41400,unknown,square_39p1
191218226,S1021+5815,155.320833,58.265556,2346789ABCD,41400,good,square_39p1
191219001,S2243+3622,340.829167,36.376667,2346789ABCD,41400,good,square_39p1
191220017,M1322+3130,200.720833,31.5125,2346789ABCD,41400,good,square_39p1
191220018,M0141+3622,25.4,36.376667,2346789ABCD,41400,good,square_39p1
191221041,S1629+5324,247.304167,53.401389,2346789ABCD,41400,good,square_39p1
191221082,S1109+6041,167.408333,60.6975,2346789ABCD,41400,good,square_39p1
191222001,S2301+3356,345.495833,33.944444,2346789ABCD,41400,good,square_39p1
191223021,S1409+5058,212.3875,50.969167,2346789ABCD,41400,good,square_39p1
191223022,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
191224041,S2246+3848,341.6,38.808889,2346789ABCD,41400,good,square_39p1
191225014,M1335+3130,203.9625,31.5125,2346789ABCD,41400,good,square_39p1
191225015,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
191226041,S2250+4114,342.670833,41.240833,2346789ABCD,41400,good,square_39p1
191227013,M1348+3130,207.204167,31.5125,2346789ABCD,41400,good,square_39p1
191227014,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
191228041,S2257+3622,344.254167,36.376667,2346789ABCD,41400,good,square_39p1
191229013,S1352+5058,208.05,50.969167,2346789ABCD,41400,good,square_39p1
191229014,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
191230041,S2300+3848,345.129167,38.808889,2346789ABCD,41400,good,square_39p1
191231012,S1345+5324,206.291667,53.401389,2346789ABCD,41400,good,square_39p1
191231013,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
200101041,S2301+4340,345.4625,43.673056,2346789ABCD,41400,good,square_39p1
200102011,S1356+5550,209.15,55.833333,2346789ABCD,41400,good,square_39p1
200102012,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
200103041,S2305+4114,346.304167,41.240833,2346789ABCD,41400,good,square_39p1
200104010,S1407+5815,211.891667,58.265556,2346789ABCD,41400,good,square_39p1
200104011,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
200105041,S2310+3622,347.683333,36.376667,2346789ABCD,41400,good,square_39p1
200106009,M1403+5324,210.85,53.401389,2346789ABCD,41400,good,square_39p1
200106010,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1
200108171,S1026+6041,156.5,60.6975,2346789ABCD,41400,good,square_39p1
200109001,S2315+3356,348.829167,33.944444,2346789ABCD,37440,good,square_39p1
200110007,S1415+5550,213.95,55.833333,2346789ABCD,41400,good,square_39p1
200110008,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1
200111041,S2314+3848,348.658333,38.808889,2346789ABCD,41400,good,square_39p1
200112006,S1404+6041,211.045833,60.6975,2346789ABCD,41400,good,square_39p1
200112007,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1
200113040,S2314+4606,348.504167,46.105,2346789ABCD,41400,good,square_39p1
200122050,S1334+5058,203.7125,50.969167,23456789ABCD,41400,good,square_39p1
200123001,S0214+4114,33.579167,41.240833,23456789ABCD,41400,good,square_39p1
200124041,S2317+4340,349.254167,43.673056,23456789ABCD,41400,good,square_39p1
200124082,S1426+6041,216.5,60.6975,23456789ABCD,41400,good,square_39p1
200125001,S0218+4340,34.729167,43.673056,23456789ABCD,41400,good,square_39p1
200126041,S2319+4114,349.941667,41.240833,23456789ABCD,41400,good,square_39p1
200126082,S1428+5815,217.033333,58.265556,23456789ABCD,41400,good,square_39p1
200128124,M1403+5324,210.85,53.401389,2346789ABCD,41400,good,square_39p1
200129001,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1
200130106,S1448+5815,222.175,58.265556,2346789ABCD,41400,good,square_39p1
200131001,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1
200201046,S2328+3356,352.1625,33.944444,2346789ABCD,41400,good,square_39p1
200201087,S1458+5324,224.520833,53.401389,2346789ABCD,41400,good,square_39p1
200202001,S0222+3622,35.683333,36.376667,2346789ABCD,41400,good,square_39p1
200225049,S1501+5058,225.4,50.969167,23456789ABCD,41400,good,square_39p1
200226001,S0243+4114,40.85,41.240833,23456789ABCD,41400,good,square_39p1
200227035,S2148+3622,327.1125,36.376667,23456789ABCD,41400,good,square_39p1
200227076,M1252+2904,193.0375,29.080278,23456789ABCD,41400,good,square_39p1
200228001,M0142+3130,25.583333,31.5125,23456789ABCD,41400,good,square_39p1
200229034,S2149+3848,327.483333,38.808889,23456789ABCD,41400,good,square_39p1
200229075,M1243+3130,190.991667,31.5125,23456789ABCD,41400,good,square_39p1
200301001,M0142+3130,25.583333,31.5125,23456789ABCD,41400,good,square_39p1
200302033,S2155+3356,328.829167,33.944444,23456789ABCD,41400,good,square_39p1
200302074,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1
200303001,M0141+3356,25.495833,33.944444,23456789ABCD,41400,good,square_39p1
200304032,S2202+3622,330.541667,36.376667,23456789ABCD,41400,good,square_39p1
200305001,M0141+3622,25.4,36.376667,23456789ABCD,41400,good,square_39p1
200306031,S2201+3130,330.45,31.5125,23456789ABCD,41400,good,square_39p1
200306072,M1248+3356,192.1625,33.944444,23456789ABCD,41400,good,square_39p1
200307001,M0141+3356,25.495833,33.944444,23456789ABCD,41400,good,square_39p1
200309042,S1042+5324,160.720833,53.401389,23456789ACD,41400,good,square_39p1
200311126,S1448+3356,222.1625,33.944444,23456789ABCD,41400,good,square_39p1
200312001,S0249+4340,42.308333,43.673056,23456789ABCD,41400,good,square_39p1
200313027,S2208+3356,332.1625,33.944444,23456789ABCD,41400,good,square_39p1
