Obsid,Beam,c2_good,c1_good,c0_good,c2_ok,c1_ok,c0_ok,all_good,all_ok,all_good_ok,rms_c2,rms_c1,rms_c0,lgfrac_c2,lgfrac_c1,lgfrac_c0,prom_c2,prom_c1,prom_c0
190808041,7,1,1,1,0,0,0,1,0,1,0.0028563882,0.0028240106,0.0028793023,-5.613106,-5.533375,-5.86758,4.280328,4.3520827,4.345435
190808041,8,1,1,1,0,0,0,1,0,1,0.0019918808,0.0020726684,0.0020765895,-5.922472,-5.6847568,-5.86758,4.235163,4.340617,4.266062
190808041,9,1,1,1,0,0,0,1,0,1,0.0016539107,0.0017059409,0.0017562046,-5.932691,-5.700623,-5.947738,4.242707,4.3153486,4.249179
190808041,10,1,1,1,0,0,0,1,0,1,0.0014722798,0.0015247025,0.001573665,-5.995635,-5.7213078,-6.038819,4.2332726,4.3132954,4.269728
190808041,11,1,1,1,0,0,0,1,0,1,0.0014951917,0.001547561,0.001602143,-5.8931828,-5.7566,-5.8824716,4.2615366,4.3058157,4.2487874
190808041,12,1,1,1,0,0,0,1,0,1,0.0023784223,0.0024915268,0.0025861931,-5.946702,-5.696602,-5.86758,4.242913,4.304855,4.280599
190808041,13,1,1,0,0,0,0,0,0,0,0.002791247,0.002929968,0.0030022021,-5.922472,-5.654664,-5.787586,4.270203,4.3183618,4.3089385
190808041,14,0,1,1,1,0,0,0,0,1,0.002441836,0.0025165698,0.002560007,-4.8026414,-5.4567204,-5.7755775,4.381572,4.3683095,4.283733
190808041,15,0,1,1,1,0,0,0,0,1,0.0019446724,0.0019136533,0.0018410106,-5.253465,-5.6946054,-5.897892,4.2856755,4.293953,4.248628
190808041,16,0,1,1,1,0,0,0,0,1,0.0014964346,0.0015471999,0.0015934592,-5.2903366,-5.303087,-5.5428123,4.2590613,4.324795,4.319649
190808041,18,1,1,1,0,0,0,1,0,1,0.0016844043,0.0017283469,0.0017907703,-5.9686036,-5.76122,-5.9361563,4.2851624,4.3131275,4.2679396
190808041,19,1,1,1,0,0,0,1,0,1,0.0016898264,0.0017544255,0.0017923475,-5.7850885,-5.360964,-5.8875513,4.3021603,4.376618,4.2636814
190808041,20,1,1,1,0,0,0,1,0,1,0.0018364546,0.0019133051,0.0019942068,-5.790024,-5.4509983,-5.699699,4.290992,4.3651714,4.2959123
190808041,21,0,0,0,0,0,0,0,0,0,0.0027266738,0.0025764606,0.005448633,-3.4483788,-3.5134768,-3.5962455,5.1144843,4.867913,5.510922
190808041,23,1,1,1,0,0,0,1,0,1,0.0014844016,0.0014900073,0.0015370474,-5.6601496,-5.8182178,-6.053542,4.247281,4.3274965,4.2464657
190808041,24,1,1,1,0,0,0,1,0,1,0.0016481698,0.0017403311,0.0017482103,-6.146571,-5.902728,-5.9361563,4.1862946,4.227153,4.2846723
190808041,25,1,1,1,0,0,0,1,0,1,0.0015500938,0.0016173325,0.0016611629,-5.890047,-5.629941,-5.9657116,4.2517776,4.309142,4.2208953
190808041,26,1,1,1,0,0,0,1,0,1,0.0016865933,0.0017466475,0.00181222,-6.0202246,-5.4087796,-5.941909,4.1752734,4.326968,4.2444344
