# Census of all observations
# manual assessment of number of good dishes
# and number of good beams (i.e., missed cals, clear bw issue)
# i am conservative with dishes - if there are sawtooth
# residual delays, i mark that as bad,
# presuming it might fail with reprocessing / ccal QA
# 
# Extra notes
# 20111034-201115001 heavily imapcted by RFI (beamweights? radar?)
# calibration / bandpass not super trustworthy
# Also 201116016 (not cals, but data itself). And same for latter in Nob
# Will do a separate RFI view (did some work on that before)
# 
taskID,name,goodtelescopes,n_goodbeams,processed
200505057,S1446+3848,3456789AB,39,True
200603135,S2258+4606,23456789ABCD,40,True
200604041,M1341+3356,23456789ABCD,40,True
200605001,M0142+3130,23456789ABCD,40,True
200605042,S2308+4832,23456789ABCD,40,True
200606041,S1355+3356,23456789ABCD,40,True
200607001,M0141+3356,23456789ABCD,40,True
200618082,M0142+3130,23456789ABCD,39,True
200619086,M0142+3130,23456789ABD,39,True
200620085,M0141+3356,23456789ABD,39,True
200621042,M0141+3356,23456789ABD,39,True
200622045,M0141+3622,23456789ABD,39,True
200624132,M0141+3622,2345689ABCD,40,True
200624213,S2245+2904,2345689ABCD,40,True
200701129,S2134+3622,2356789ABCD,40,True
200702041,S1221+3356,2356789ABCD,40,True
200703001,M0208+3130,2356789ABCD,40,True
200703042,S2135+3848,2356789ABCD,40,True
200704041,M1243+3130,2356789ABCD,40,True
200705001,M0208+3130,2356789ABCD,40,True
200705042,S2137+4114,2356789ABCD,40,True
200706041,M1243+3130,2356789ABCD,40,True
200707001,M0208+3130,2356789ABCD,40,True
200707042,S2141+3356,2356789ABCD,40,True
200709001,M0208+3356,2356789ABCD,40,True
200709042,S2142+2904,2356789ABCD,40,True
200710041,S1236+6307,2356789ABCD,40,True
200711001,M0208+3356,2356789ABCD,40,True
200711042,S2148+3130,2356789ABCD,40,True
200712041,M1256+3130,2356789ABCD,40,True
200713001,M0209+3622,2356789ABCD,40,True
200729168,S2155+2904,2346789ABCD,40,True
200730041,M1256+3130,2346789ABCD,40,True
200730042,M0141+3622,2346789ABCD,40,True
