timestamp,target_tid,target_name,cal1_tids,cal1_name,cal2_tids,cal2_name,beams,node,starttime,endtime,runtime,failures
1563118454.000900,190711169,S2152+4114,-,-,-,-,-,happili-03,-,2019-07-14 15:34:14.423547,"1 day, 12:03:26.020315",
1563118540.001100,190711169,S2152+4114,-,-,-,-,-,happili-04,-,2019-07-14 15:35:40.343419,"1 day, 7:49:52.284389",
1563122740.001600,190712041,M1403+5324,190712040-190712031,3C147,190713032-190713041,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-14 16:45:39.922826,,,
1563122742.001700,190712041,M1403+5324,190712030-190712021,3C147,190713022-190713031,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-14 16:45:42.271114,,,
1563122761.001800,190712041,M1403+5324,190712020-190712011,3C147,190713012-190713021,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-14 16:46:00.951865,,,
1563123650.002000,190712041,M1403+5324,190712010-190712001,3C147,190713002-190713011,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-14 17:00:50.683370,,,
1563176083.002400,190712041,M1403+5324,-,-,-,-,-,happili-01,-,2019-07-15 07:34:42.986671,14:33:51.877297,"B001: FAILED on line, B004: FAILED on continuum, B006: FAILED on continuum, B007: FAILED on continuum, B008: FAILED on line, B009: FAILED on line"
1563176926.002600,190712041,M1403+5324,-,-,-,-,-,happili-02,-,2019-07-15 07:48:45.956577,15:02:44.260811,"B010: FAILED on line, B011: FAILED on line"
1563177652.002800,190712041,M1403+5324,-,-,-,-,-,happili-04,-,2019-07-15 08:00:51.438842,15:15:10.257556,"B030: FAILED on line, B031: FAILED on line"
1563312687.003100,190713001,M0155+3130,190712010-190712001,3C147,190713002-190713011,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-16 21:31:26.700514,,,
1563312687.003200,190713001,M0155+3130,190712040-190712031,3C147,190713032-190713041,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-16 21:31:26.275885,,,
1563312688.003300,190713001,M0155+3130,190712020-190712011,3C147,190713012-190713021,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-16 21:31:27.946318,,,
1563312689.003400,190713001,M0155+3130,190712030-190712021,3C147,190713022-190713031,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-16 21:31:28.297189,,,
1563419540.003700,190713001,M0155+3130,-,-,-,-,-,happili-04,-,2019-07-18 03:12:19.410907,"1 day, 5:40:50.834566","B030: FAILED on continuum, B031: FAILED on convert, B032: FAILED on convert, B033: FAILED on convert, B034: FAILED on convert, B035: FAILED on convert, B036: FAILED on convert, B037: FAILED on convert, B038: FAILED on convert, B039: FAILED on convert"
1563426984.004000,190713042,S2323+2904,190713041-190713032,3C286,190714031-190714040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-18 05:16:24.421732,,,
1563433066.005900,190713001,M0155+3130,-,-,-,-,-,happili-02,-,2019-07-18 06:57:45.195763,"1 day, 9:26:15.439756","B010: FAILED on convert, B011: FAILED on convert, B012: FAILED on convert, B013: FAILED on convert, B014: FAILED on convert, B015: FAILED on convert, B016: FAILED on convert, B017: FAILED on convert, B019: FAILED on convert"
1563435050.006300,190713001,M0155+3130,-,-,-,-,-,happili-01,-,2019-07-18 07:30:49.753930,"1 day, 9:59:21.054559","B000: FAILED on convert, B001: FAILED on convert, B002: FAILED on convert, B003: FAILED on convert, B004: FAILED on convert, B005: FAILED on convert, B006: FAILED on convert, B007: FAILED on convert, B009: FAILED on convert"
1563438743.006600,190713042,S2323+2904,190713021-190713012,3C286,190714011-190714020,3C147,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-18 08:32:22.692984,,,
1563440754.006800,190713042,S2323+2904,190713011-190713002,3C286,190714001-190714010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-18 09:05:53.934647,,,
1563468635.006900,190713001,M0155+3130,-,-,-,-,-,happili-03,-,2019-07-18 16:50:34.720574,"1 day, 19:19:04.907278","B020: FAILED on convert, B021: FAILED on convert, B022: FAILED on convert, B023: FAILED on convert, B024: FAILED on convert, B025: FAILED on convert,continuum, B026: FAILED on convert, B027: FAILED on convert, B029: FAILED on convert"
1563474395.007200,190713042,S2323+2904,190713031-190713022,3C286,190714021-190714030,3C147,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-18 18:26:35.318500,,,
1563528134.007300,190713042,S2323+2904,-,-,-,-,-,happili-04,-,2019-07-19 09:22:13.290882,"1 day, 4:05:46.930663","B030: FAILED on continuum, B031: FAILED on convert, B032: FAILED on convert, B033: FAILED on convert,continuum, B034: FAILED on convert, B035: FAILED on convert, B036: FAILED on convert, B037: FAILED on convert, B038: FAILED on convert, B039: FAILED on convert"
1563777146.000100,190714041,S1444+5058,190714010-190714001,3C147,190715001-190715010,3C138,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-22 06:32:26.445136,,,
1563777149.000200,190714041,S1444+5058,190714030-190714021,3C147,190715021-190715030,3C138,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-22 06:32:28.822765,,,
