taskid,beam,pass_V,pass_QU,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,s_in,s_out,rat,peak,peak_s,peak_in,N2,P2,Ex-2,Ex+2,ftmax,bmaj,bmin,bpa
190701042,17,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,18,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,19,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,20,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,21,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,22,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,23,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,24,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,25,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,26,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,27,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,28,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,29,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,30,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,31,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,32,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,33,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,34,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,35,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,36,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,37,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,38,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190701042,39,None,False,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190711169,0,True,False,1.0,1.0,1.0,1.0,49.1,33.0,1.49,1766.5,53.5,1766.5,3.2,3.2,2498.0,2511.0,9.7,21.6,12.1,0.4
190711169,1,True,False,1.0,1.0,1.0,1.0,47.5,46.3,1.03,548.8,11.9,548.8,1.1,1.1,874.0,847.0,7.4,21.9,12.0,0.7
190711169,2,False,False,1.0,1.0,1.0,1.0,72.6,69.6,1.04,2760.4,39.6,2760.4,1.1,1.1,869.0,877.0,10.5,22.1,12.0,0.5
190711169,3,True,False,1.0,1.0,1.0,1.0,34.3,34.0,1.01,1157.8,34.0,885.2,1.0,1.0,746.0,752.0,5.2,22.1,12.0,0.3
190711169,4,False,False,1.0,1.0,1.0,1.0,192.9,146.7,1.31,10205.2,69.6,10205.2,1.7,1.7,1279.0,1283.0,91.1,22.0,12.0,0.3
190711169,5,True,False,1.0,1.0,1.0,1.0,40.4,35.9,1.13,3508.3,97.7,3508.3,1.1,1.1,878.0,829.0,9.2,22.1,12.0,0.3
190711169,6,True,False,1.0,1.0,1.0,1.0,41.5,40.8,1.02,1109.9,27.2,1109.9,1.0,1.0,803.0,782.0,5.8,22.2,12.0,0.3
190711169,7,False,False,1.0,1.0,1.0,1.0,85.6,80.1,1.07,2042.0,25.5,1919.7,1.3,1.3,1019.0,999.0,46.4,22.1,12.0,0.4
190711169,8,True,False,1.0,1.0,1.0,1.0,42.3,41.1,1.03,930.7,22.7,930.7,1.1,1.1,876.0,867.0,5.7,21.9,12.0,0.2
190711169,9,True,False,1.0,1.0,1.0,1.0,38.9,38.9,1.0,405.6,10.4,331.7,1.0,1.0,745.0,765.0,5.3,22.4,12.1,0.1
190711169,10,True,False,1.0,1.0,1.0,1.0,38.1,38.0,1.0,464.9,12.2,464.9,1.0,1.0,749.0,749.0,5.1,22.4,12.1,0.1
190711169,11,True,False,1.0,1.0,1.0,1.0,39.5,37.9,1.04,1032.0,27.2,1032.0,1.1,1.1,843.0,870.0,10.0,22.3,12.1,0.2
190711169,12,True,False,1.0,1.0,1.0,1.0,47.2,44.0,1.07,1933.5,44.0,1046.2,1.3,1.3,976.0,1001.0,6.9,22.0,12.0,0.2
190711169,13,False,False,1.0,1.0,1.0,1.0,68.4,65.9,1.04,1813.0,27.5,1228.5,1.1,1.1,847.0,825.0,9.2,22.4,12.0,0.0
190711169,14,False,False,1.0,1.0,1.0,1.0,74.0,68.1,1.09,5630.2,82.6,2451.4,1.3,1.3,1005.0,987.0,34.1,22.4,12.0,-0.1
