taskid,beam,pass,s_in,s_out,rat,peak_mJy,peak_sig,rusc-,rusc+,D,N2,P2,Ex-2,Ex+2
190719041,19,True,49.1,45.2,1.09,15.0,332.0,3.5,4.7,95.0,1.4,1.6,134.0,202.0
190719041,20,False,141.4,103.2,1.37,295.2,2858.9,5.3,5.3,539.0,3.3,3.4,739.0,762.0
190719041,21,True,57.0,51.8,1.1,27.8,536.4,3.8,4.8,141.0,1.5,1.7,164.0,219.0
190719041,22,False,46.7,28.9,1.62,79.4,2748.6,9.0,6.3,305.0,4.9,5.1,1345.0,1421.0
190719041,23,True,44.3,39.7,1.12,11.4,288.3,3.7,4.7,78.0,1.5,1.8,171.0,254.0
190719041,24,False,53.3,41.6,1.28,126.7,3044.8,5.0,5.0,609.0,2.8,2.9,584.0,598.0
190719041,25,False,56.2,42.9,1.31,96.4,2248.6,5.5,5.6,409.0,3.0,3.1,637.0,678.0
190719041,26,True,50.2,46.1,1.09,15.8,342.7,3.7,4.8,93.0,1.5,1.7,159.0,209.0
190719041,27,True,54.5,46.8,1.16,66.7,1423.4,4.1,5.0,347.0,2.0,2.1,314.0,358.0
190719041,28,False,51.6,41.5,1.24,52.5,1265.0,4.4,5.3,287.0,2.4,2.6,461.0,521.0
190719041,29,False,62.2,47.9,1.3,126.1,2631.8,4.5,5.3,585.0,2.8,2.9,574.0,607.0
190719041,30,True,41.9,37.7,1.11,6.5,173.7,3.6,5.8,48.0,1.5,1.8,161.0,262.0
190719041,31,False,269.3,111.9,2.41,286.1,2556.0,6.4,6.3,399.0,9.0,9.1,242.0,245.0
190719041,32,False,113.2,57.1,1.98,370.2,6483.9,9.3,8.9,697.0,7.1,7.3,1960.0,2012.0
190719041,33,False,106.6,63.1,1.69,96.1,1524.0,7.1,6.2,215.0,5.4,5.4,1412.0,1434.0
190719041,34,True,50.2,43.5,1.15,17.2,395.4,3.7,5.0,107.0,1.8,2.1,268.0,343.0
190719041,35,False,51.3,35.0,1.46,33.9,968.8,8.1,6.0,120.0,3.9,4.1,1021.0,1077.0
190719041,36,False,63.3,51.6,1.23,17.2,334.0,3.5,4.3,95.0,2.3,2.5,132.0,158.0
190719041,37,False,46.3,37.6,1.23,13.6,362.0,5.9,5.1,61.0,2.4,2.5,496.0,526.0
190719041,38,False,88.4,59.6,1.48,398.2,6680.0,6.5,5.8,1028.0,4.2,4.1,1038.0,1017.0
190719041,39,False,30315.5,13168.4,2.3,14554.0,1105.2,9.4,6.1,118.0,7.8,8.7,2381.0,2701.0
190719042,0,False,66.7,41.3,1.62,139.9,3390.2,8.1,6.5,419.0,4.8,5.1,910.0,971.0
190719042,1,False,74.6,60.8,1.23,41.7,686.4,6.5,5.8,106.0,2.5,2.6,342.0,372.0
190719042,2,True,53.0,44.4,1.19,16.3,366.0,4.7,6.3,78.0,2.1,2.2,269.0,285.0
190719042,3,True,48.9,43.7,1.12,15.1,345.1,4.1,4.7,84.0,1.7,1.9,164.0,212.0
190719042,4,False,104.8,74.2,1.41,87.4,1177.3,6.3,5.1,187.0,3.7,3.6,623.0,617.0
190719042,5,False,76.8,57.6,1.33,111.7,1937.0,6.7,6.7,289.0,3.2,3.3,511.0,547.0
190719042,6,False,75.5,70.2,1.08,6.9,97.9,3.4,5.8,29.0,1.4,1.6,92.0,132.0
190719042,7,False,91.0,79.7,1.14,6.2,77.2,3.8,4.2,20.0,1.9,1.9,206.0,218.0
190719042,8,False,65.1,58.3,1.12,25.9,444.8,5.0,5.4,89.0,1.8,1.9,178.0,203.0
190719042,9,False,57.7,45.4,1.27,54.3,1194.1,6.9,5.0,173.0,2.9,2.9,441.0,445.0
190719042,10,False,55.8,39.9,1.4,39.2,983.4,7.3,5.7,135.0,3.7,3.7,638.0,626.0
190719042,11,False,48.3,38.9,1.24,27.9,717.2,5.9,5.0,122.0,2.6,2.7,365.0,390.0
190719042,12,False,74.3,63.8,1.17,9.2,143.7,4.8,4.6,30.0,2.0,2.2,243.0,271.0
190719042,13,False,115.3,77.8,1.48,178.5,2293.5,7.5,6.7,306.0,4.4,4.2,799.0,766.0
190719042,14,False,146.0,71.1,2.05,78.2,1099.2,9.3,7.7,118.0,7.0,7.8,1416.0,1600.0
190719042,15,False,74.6,58.4,1.28,48.7,834.1,7.0,5.8,119.0,2.8,2.9,438.0,448.0
190719042,16,False,71.5,45.2,1.58,98.1,2172.3,7.6,5.9,286.0,5.0,4.9,944.0,925.0
190719042,17,False,69.3,51.1,1.35,20.5,400.8,4.1,4.4,98.0,3.6,3.6,189.0,188.0
190719042,18,True,55.0,46.4,1.19,15.2,327.4,4.8,4.7,68.0,2.2,2.3,283.0,304.0
190719042,19,False,109.3,53.8,2.03,164.0,3047.1,8.9,6.7,342.0,6.9,7.4,1404.0,1501.0
190719042,20,False,85.9,63.7,1.35,61.8,969.7,6.9,5.6,141.0,3.2,3.3,514.0,555.0
190719042,21,False,65.0,54.1,1.2,45.9,848.1,6.9,4.8,123.0,2.3,2.4,306.0,336.0
190719042,22,False,45.3,30.1,1.5,29.4,976.9,8.1,6.2,121.0,4.6,4.4,928.0,869.0
190719042,23,False,64.3,40.9,1.57,128.9,3153.3,8.4,6.6,375.0,4.9,4.8,931.0,919.0
190719042,24,False,94.0,46.5,2.02,146.0,3142.4,9.0,5.9,349.0,6.8,7.4,1378.0,1533.0
190719042,25,False,120.6,49.7,2.43,578.9,11650.9,9.7,7.7,1201.0,8.2,9.8,1712.0,2101.0
190719042,26,False,71.3,47.8,1.49,126.3,2640.3,8.3,5.5,318.0,4.1,4.2,741.0,755.0
190719042,27,True,54.8,47.3,1.16,28.6,604.8,4.9,5.0,123.0,1.9,2.1,221.0,265.0
190719042,28,True,47.9,41.8,1.14,13.4,319.5,4.4,5.0,73.0,1.9,2.1,215.0,254.0
190719042,29,True,55.9,45.9,1.22,18.7,408.4,4.5,5.0,91.0,2.4,2.4,336.0,346.0
190719042,30,False,170.8,56.5,3.02,605.1,10703.6,9.8,9.8,1092.0,10.0,11.9,2225.0,2684.0
190719042,31,False,317.1,122.1,2.6,31.5,258.2,7.2,6.5,36.0,9.9,9.6,180.0,173.0
190719042,32,False,141.1,90.8,1.55,53.9,594.0,5.6,5.2,106.0,4.4,4.5,820.0,843.0
190719042,33,False,64.9,53.7,1.21,27.6,515.0,5.2,5.2,99.0,2.3,2.4,314.0,346.0
190719042,34,True,51.3,44.2,1.16,27.2,615.7,5.0,5.0,123.0,2.1,2.2,266.0,294.0
190719042,35,False,76.3,40.2,1.9,62.5,1552.5,8.8,6.2,176.0,5.9,7.0,1265.0,1571.0
190719042,36,False,88.1,57.5,1.53,153.1,2660.9,5.1,4.7,522.0,4.6,4.7,268.0,270.0
190719042,37,False,71.1,40.6,1.75,45.2,1114.6,8.8,5.9,127.0,5.4,5.9,1151.0,1261.0
190719042,38,True,55.4,49.8,1.11,17.8,357.8,5.2,4.5,69.0,1.7,1.8,172.0,198.0
190719042,39,False,16425.5,13167.7,1.25,1646.0,125.0,4.3,4.1,29.0,2.5,2.5,380.0,391.0
190720041,0,False,67.6,49.7,1.36,22.2,446.4,3.9,5.5,114.0,3.4,3.5,159.0,163.0
190720041,1,False,21736.0,12493.3,1.74,6798.6,544.2,9.2,5.5,59.0,5.4,5.6,1047.0,1095.0
190720041,2,False,80.6,59.2,1.36,61.3,1035.1,3.9,4.8,265.0,3.4,3.5,155.0,164.0
190720041,3,False,68.8,56.1,1.23,43.0,765.8,3.5,4.0,219.0,2.6,2.8,102.0,116.0
190720041,4,False,120.4,61.6,1.96,114.1,1853.7,6.7,5.8,277.0,7.5,7.2,423.0,404.0
190720041,5,False,55.4,42.1,1.31,17.0,403.9,4.5,6.4,90.0,2.9,3.0,417.0,443.0
190720041,6,False,111.8,76.6,1.46,158.7,2073.6,4.5,4.4,461.0,4.3,4.3,214.0,214.0
190720041,7,False,88.2,74.0,1.19,23.6,318.5,3.4,4.0,94.0,2.2,2.5,78.0,100.0
190720041,8,False,81.0,65.1,1.24,29.3,449.6,3.5,4.3,128.0,2.5,2.8,100.0,119.0
190720041,9,False,100.9,67.1,1.5,35.5,529.9,4.2,4.7,126.0,4.2,4.4,209.0,224.0
190720041,10,False,184.4,61.9,2.98,340.9,5511.9,8.8,9.0,626.0,11.1,10.8,657.0,635.0
190720041,11,False,120.6,62.7,1.92,27.4,436.6,6.7,6.7,65.0,6.8,6.9,377.0,377.0
190720041,12,False,110.2,76.6,1.44,37.6,491.2,4.3,6.0,114.0,3.9,3.7,187.0,177.0
190720041,13,False,100.7,74.2,1.36,59.4,799.9,4.1,4.5,195.0,3.3,3.3,153.0,155.0
190720041,14,False,96.7,70.0,1.38,19.4,276.6,3.8,5.1,73.0,3.4,3.5,161.0,166.0
190720041,15,False,79.1,56.4,1.4,12.4,220.2,3.9,4.9,56.0,3.7,3.5,180.0,172.0
190720041,16,False,77.5,52.5,1.48,52.0,991.6,4.5,4.9,220.0,4.3,4.2,214.0,212.0
190720041,17,False,78.8,55.5,1.42,88.3,1592.3,4.3,4.6,370.0,4.0,4.0,197.0,199.0
190720041,18,False,64.6,50.5,1.28,13.0,258.1,3.5,4.8,74.0,2.6,3.0,112.0,138.0
190720041,19,False,98.1,76.2,1.29,37.3,489.3,3.6,3.7,136.0,2.9,2.9,126.0,125.0
190720041,20,False,87.8,69.8,1.26,102.2,1463.2,3.7,4.3,395.0,2.8,2.8,117.0,120.0
190720041,21,False,124.0,75.9,1.63,114.6,1509.1,5.0,5.3,302.0,5.1,5.0,277.0,273.0
190720041,22,False,125.5,73.7,1.7,207.7,2817.4,5.1,6.7,552.0,5.6,5.0,308.0,269.0
190720041,23,False,91.9,59.2,1.55,63.4,1070.4,4.6,5.2,233.0,4.4,4.6,230.0,244.0
190720041,24,False,60.0,50.9,1.18,39.1,767.5,3.4,4.1,226.0,2.3,2.6,86.0,104.0
190720041,25,False,86.9,58.7,1.48,35.2,600.1,4.7,4.5,128.0,4.4,4.6,228.0,239.0
190720041,26,False,60.8,47.4,1.28,31.8,670.5,3.8,4.4,176.0,2.9,3.2,127.0,146.0
190720041,27,False,166.7,57.6,2.89,635.4,11027.9,9.6,6.7,1149.0,9.6,11.8,1970.0,2468.0
