taskid,beam,cont_pass,pol_pass,pol_V_pass,pol_QU_pass,HI_all_good,HI_all_good_ok,HI_c2_good_ok,HI_c2_good,HI_pass,all_pass,s_in,s_out,rat,N2,Ex-2,pol_s_in,pol_s_out,pol_rat,pol_N2,pol_Ex-2,pol_ftmax,pol_peak_in,pol_P2,pol_bmin,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,Field
190906044,36,True,True,True,True,True,True,True,True,True,False,36.8,30.9,1.19,2.2,455.0,30.9,30.9,1.0,1.0,932.0,3.0,954.6,1.0,-3.7,0.08,0.08,0.08,0.08,S1025+5550
190906044,37,True,True,True,True,False,True,True,True,False,False,39.0,31.9,1.22,2.4,531.0,33.3,32.2,1.03,1.0,959.0,2.8,2163.9,1.0,-5.9,0.08,0.08,0.08,0.08,S1025+5550
190906045,0,True,True,True,True,True,True,True,True,True,True,36.5,31.0,1.18,2.0,309.0,33.7,33.2,1.02,1.0,825.0,4.0,427.8,1.1,-3.1,0.08,0.08,0.08,0.08,S2204+3848
190906045,3,True,True,True,True,True,True,True,True,True,True,37.0,30.6,1.21,2.3,375.0,31.4,31.0,1.01,1.0,722.0,3.9,1382.4,0.9,-2.9,0.08,0.08,0.08,0.08,S2204+3848
190906045,4,True,True,True,True,True,True,True,True,True,False,37.2,31.6,1.18,2.0,286.0,31.9,31.7,1.0,0.9,705.0,4.3,1138.6,1.0,-2.4,0.08,0.08,0.08,0.08,S2204+3848
190906045,15,True,False,True,False,True,True,True,True,True,False,44.3,39.7,1.12,1.5,157.0,40.3,39.6,1.02,1.0,760.0,3.3,1654.8,1.0,-3.3,1.0,1.0,0.12,0.12,S2204+3848
190906045,18,True,True,True,True,True,True,True,True,True,True,39.9,34.5,1.16,1.9,286.0,35.2,34.9,1.01,1.0,799.0,4.3,999.3,1.0,-3.9,0.08,0.08,0.08,0.08,S2204+3848
190906045,23,True,True,True,True,True,True,True,True,True,False,37.6,30.8,1.22,2.5,432.0,30.8,30.5,1.01,1.0,734.0,3.7,1323.4,1.0,-5.2,0.08,0.08,0.12,0.12,S2204+3848
190906045,28,True,False,False,True,False,False,True,True,False,False,45.5,37.2,1.22,2.3,399.0,37.7,36.8,1.02,1.1,831.0,31.2,731.6,1.1,-3.2,0.12,0.12,0.12,0.12,S2204+3848
190906045,33,True,True,True,True,True,True,True,True,True,True,48.0,41.8,1.15,1.9,282.0,43.2,42.4,1.02,1.0,838.0,8.4,1756.4,1.0,-2.5,0.08,0.08,0.12,0.12,S2204+3848
190907041,3,True,True,True,True,False,False,False,False,False,True,39.9,34.6,1.15,2.0,385.0,34.7,34.6,1.0,1.0,1019.0,2.9,513.2,1.0,13.8,0.08,0.08,0.08,0.08,S1342+6041
190907041,23,True,True,True,True,False,True,True,False,False,False,49.9,43.0,1.16,2.1,398.0,43.5,43.3,1.0,1.0,950.0,18.0,613.6,1.0,-0.8,0.25,0.25,0.12,0.12,S1342+6041
190907041,27,True,True,True,True,False,True,True,False,False,True,57.2,50.7,1.13,1.7,272.0,51.0,50.9,1.0,1.0,1009.0,7.4,518.7,1.0,20.6,0.08,0.08,0.12,0.12,S1342+6041
