taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern,fluxcal,flux_first,flux_last,polcal,pol_first,pol_last,apercal_version,apercal_name
191004041,S1346+5815,206.745833,58.265556,23456789ABCD,41400,good,square_39p1,3C196,191005001,191005040,3C138,191004001,191004040,v2.5-5-g504d478,Autocorrelation flagging
191004042,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C196,191005001,191005040,3C138,191004001,191004040,v2.3-618-ga8820cf,150 MHz
191005041,S2207+4114,331.7625,41.240833,23456789ABCD,41400,good,square_39p1,3C196,191005001,191005040,3C138,191006001,191006040,v2.5-5-g504d478,Autocorrelation flagging
191006041,S1259+5550,194.75,55.833333,23456789ABCD,41400,good,square_39p1,3C196,191005001,191005040,3C138,191006001,191006040,v2.5-6-g80a4300,Autocorrelation flagging
191006058,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C196,191005001,191005040,3C138,191006001,191006040,v2.5-6-g80a4300,Autocorrelation flagging
191009038,S1041+5058,160.3375,50.969167,23456789ABCD,41400,good,square_39p1,3C147,191008195,191009037,3C138,191010001,191010040,v2.5-7-gc408fcf,Flag RTC-RTD
191009039,S2221+3356,335.495833,33.944444,23456789ABCD,41400,good,square_39p1,3C147,191008195,191009037,3C138,191010001,191010040,v2.5-7-gc408fcf,Flag RTC-RTD
191010041,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1,3C147,191011001,191011040,3C138,191010001,191010040,v2.5-7-gc408fcf,Flag RTC-RTD
191010042,M0142+3130,25.583333,31.5125,23456789ABCD,41400,good,square_39p1,3C147,191011001,191011040,3C138,191010001,191010040,v2.5-1-g31cc003,Autocorrelation flagging
191011041,S2210+4606,332.679167,46.105,23456789ABCD,41400,good,square_39p1,3C147,191011001,191011040,3C138,191012001,191012040,v2.5-7-gc408fcf,Flag RTC-RTD
191012041,S1318+5550,199.55,55.833333,23456789ABCD,41400,good,square_39p1,3C147,191013001,191013040,3C138,191012001,191012040,v2.5-7-gc408fcf,Flag RTC-RTD
191012042,M0141+3356,25.495833,33.944444,23456789ABCD,41400,good,square_39p1,3C147,191013001,191013040,3C138,191012001,191012040,v2.5-7-gc408fcf,Flag RTC-RTD
191013041,S2215+3622,333.970833,36.376667,23456789ABCD,41400,good,square_39p1,3C147,191013001,191013040,3C138,191014001,191014040,v2.5-7-gc408fcf,Flag RTC-RTD
191014041,S1320+6041,200.1375,60.6975,23456789ABCD,41400,good,square_39p1,3C147,191014056,191015027,3C138,191014001,191014040,v2.5-48-g95b1efc,Bandpass phase flagging
191024043,S1402+3622,210.541667,36.376667,23456789ABCD,41400,good,square_39p1,3C147,191024003,191024042,3C286,191025001,191025040,v2.5-7-gc408fcf,Flag RTC-RTD
191024044,M0155+3622,28.829167,36.376667,23456789ABCD,43082,good,square_39p1,3C147,191024003,191024042,3C286,191025001,191025040,v2.5-7-gc408fcf,Flag RTC-RTD
191025081,M0155+3622,28.829167,36.376667,23456789ABCD,43082,good,square_39p1,3C295,191025041,191025080,3C138,191027003,191027042,v2.5-49-ge221ce7,Bandpass phase flagging
191026001,S1408+3356,212.1625,33.944444,23456789ABCD,41286,good,square_39p1,3C295,191025041,191025080,3C138,191027003,191027042,v2.5-49-ge221ce7,Bandpass phase flagging
191027043,S1401+3130,210.45,31.5125,23456789ABCD,41286,good,square_39p1,3C147,191028001,191028040,3C138,191027003,191027042,v2.5-48-g95b1efc,Bandpass phase flagging
191027044,M0155+3622,28.829167,36.376667,23456789ABCD,41045,good,square_39p1,3C147,191028001,191028040,3C138,191027003,191027042,v2.5-49-ge221ce7,Bandpass phase flagging
191031242,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C295,191031202,191031241,3C286,191101001,191101040,v2.5-62-gde547b9,Bandpass phase flagging
191101041,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C147,191102002,191103032,3C286,191101001,191101040,v2.5-62-gde547b9,Bandpass phase flagging
191102001,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1,3C147,191102002,191103032,3C286,191101001,191101040,v2.5-67-g130c637,Bandpass phase flagging
191103033,S1414+3130,213.691667,31.5125,23456789ABCD,41400,good,square_39p1,3C147,191102002,191103032,3C286,191104001,191104040,v2.5-67-g130c637,Bandpass phase flagging
191103034,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C147,191102002,191103032,3C286,191104001,191104040,v2.5-71-gde1f48e,Bandpass phase flagging
191113139,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191114001,191114040,3C138,191114042,191115039,v2.5-76-g66b020a,Bandpass phase flagging
191114041,S2216+4340,334.095833,43.673056,23456789ABCD,41400,good,square_39p1,3C196,191114001,191114040,3C138,191114042,191115039,v2.5-78-g1455579,Bandpass phase flagging
191115040,M1304+2904,196.195833,29.080278,23456789ABCD,41400,good,square_39p1,3C196,191116001,191116040,3C138,191114042,191115039,v2.5-78-g1455579,Bandpass phase flagging
191115041,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191116001,191116040,3C138,191114042,191115039,v2.5-78-g1455579,Bandpass phase flagging
191116041,S2218+3848,334.541667,38.808889,23456789ABCD,41400,good,square_39p1,3C196,191116001,191116040,3C138,191116042,191117037,v2.5-286-g17712e3,Bandpass phase flagging
191117038,M1317+2904,199.354167,29.080278,23456789ABCD,41400,good,square_39p1,3C196,191118001,191118040,3C138,191116042,191117037,v2.5-286-g17712e3,Bandpass phase flagging
191117039,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191118001,191118040,3C138,191116042,191117037,v2.5-286-g17712e3,Bandpass phase flagging
191120096,M0155+3622,28.829167,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191121001,191121040,3C138,191121047,191122034,v2.5-286-g17712e3,Bandpass phase flagging
191121046,S2221+4114,335.395833,41.240833,23456789ABCD,41400,good,square_39p1,3C196,191121001,191121040,3C138,191121047,191122034,v2.5-286-g17712e3,Bandpass phase flagging
191122035,M1309+3130,197.475,31.5125,23456789ABCD,41400,good,square_39p1,3C196,191123001,191123040,3C138,191121047,191122034,v2.5-286-g17712e3,Bandpass phase flagging
191122036,M0209+3622,32.254167,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191123001,191123040,3C138,191121047,191122034,v2.5-286-g17712e3,Bandpass phase flagging
191123047,S2229+3622,337.4,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191123001,191123040,3C138,191123048,191124034,v2.5-286-g17712e3,Bandpass phase flagging
191124035,M1330+2904,202.5125,29.080278,23456789ABCD,41400,good,square_39p1,3C196,191125001,191125040,3C138,191123048,191124034,v2.5-286-g17712e3,Bandpass phase flagging
191124036,M0209+3622,32.254167,36.376667,23456789ABCD,41400,good,square_39p1,3C196,191125001,191125040,3C138,191123048,191124034,v2.5-286-g17712e3,Bandpass phase flagging
191125047,S2232+3848,338.070833,38.808889,23456789ABCD,41400,good,square_39p1,3C196,191125001,191125040,3C138,191125048,191126033,v2.5-286-g17712e3,Bandpass phase flagging
191207034,M1403+5324,210.85,53.401389,23456789ABCD,41400,good,square_39p1,3C196,191208008,191208040,3C138,191207001,191207033,v2.5-298-g312934a,Bandpass phase flagging
191207035,M0155+3356,28.829167,33.944444,23456789ABCD,41400,good,square_39p1,3C196,191208008,191208040,3C138,191207001,191207033,v2.5-298-g312934a,Bandpass phase flagging
191208041,S2236+4114,339.033333,41.240833,23456789ABCD,41400,good,square_39p1,3C196,191208001,191208040,3C138,191208042,191209024,v2.5-298-g312934a,Bandpass phase flagging
191209025,M1342+2904,205.670833,29.080278,23456789ABCD,41400,good,square_39p1,3C147,191210001,191210040,3C138,191208042,191209024,v2.5-298-g312934a,Bandpass phase flagging
191209026,S0129+3130,22.341667,31.5125,23456789ABCD,41400,good,square_39p1,3C147,191210001,191210040,3C138,191208042,191209024,v2.5-1-g31cc003,Autocorrelation flagging
191218226,S1021+5815,155.320833,58.265556,2346789ABCD,41400,good,square_39p1,3C147,191218186,191218225,3C138,191219002,191220016,v2.5-298-g312934a,Bandpass phase flagging
191219001,S2243+3622,340.829167,36.376667,2346789ABCD,41400,good,square_39p1,3C147,191218186,191218225,3C138,191219002,191220016,v2.5-298-g312934a,Bandpass phase flagging
191220017,M1322+3130,200.720833,31.5125,2346789ABCD,41400,good,square_39p1,3C147,191221001,191221040,3C138,191219002,191220016,v2.5-298-g312934a,Bandpass phase flagging
191220018,M0141+3622,25.4,36.376667,2346789ABCD,41400,good,square_39p1,3C147,191221001,191221040,3C138,191219002,191220016,v2.5-298-g312934a,Bandpass phase flagging
191221041,S1629+5324,247.304167,53.401389,2346789ABCD,41400,good,square_39p1,3C147,191221001,191221040,3C138,191221042,191221081,v2.5-298-g312934a,Bandpass phase flagging
191221082,S1109+6041,167.408333,60.6975,2346789ABCD,41400,good,square_39p1,3C147,191222002,191223020,3C138,191221042,191221081,v2.5-298-g312934a,Bandpass phase flagging
191222001,S2301+3356,345.495833,33.944444,2346789ABCD,41400,good,square_39p1,3C147,191222002,191223020,3C138,191221042,191221081,v2.5-298-g312934a,Bandpass phase flagging
191223021,S1409+5058,212.3875,50.969167,2346789ABCD,41400,good,square_39p1,3C147,191222002,191223020,3C286,191224001,191224040,v2.5-298-g312934a,Bandpass phase flagging
191223022,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,191222002,191223020,3C286,191224001,191224040,v2.5-5-g504d478,Autocorrelation flagging
191224041,S2246+3848,341.6,38.808889,2346789ABCD,41400,good,square_39p1,3C147,191224042,191225013,3C286,191224001,191224040,v2.5-298-g312934a,Bandpass phase flagging
191225014,M1335+3130,203.9625,31.5125,2346789ABCD,41400,good,square_39p1,3C147,191224042,191225013,3C286,191226001,191226040,v2.5-298-g312934a,Bandpass phase flagging
191225015,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,191224042,191225013,3C286,191226001,191226040,v2.5-298-g312934a,Bandpass phase flagging
191226041,S2250+4114,342.670833,41.240833,2346789ABCD,41400,good,square_39p1,3C147,191226042,191227012,3C286,191226001,191226040,v2.5-298-g312934a,Bandpass phase flagging
191227013,M1348+3130,207.204167,31.5125,2346789ABCD,41400,good,square_39p1,3C147,191226042,191227012,3C286,191228001,191228040,v2.5-298-g312934a,Bandpass phase flagging
191227014,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,191226042,191227012,3C286,191228001,191228040,v2.5-298-g312934a,Bandpass phase flagging
191228041,S2257+3622,344.254167,36.376667,2346789ABCD,41400,good,square_39p1,3C147,191228042,191229012,3C286,191228001,191228040,v2.5-298-g312934a,Bandpass phase flagging
191229013,S1352+5058,208.05,50.969167,2346789ABCD,41400,good,square_39p1,3C147,191228042,191229012,3C286,191230001,191230040,v2.5-298-g312934a,Bandpass phase flagging
191229014,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,191228042,191229012,3C286,191230001,191230040,v2.5-5-g504d478,Autocorrelation flagging
191230041,S2300+3848,345.129167,38.808889,2346789ABCD,41400,good,square_39p1,3C147,191230042,191231011,3C286,191230001,191230040,v2.5-298-g312934a,Bandpass phase flagging
191231012,S1345+5324,206.291667,53.401389,2346789ABCD,41400,good,square_39p1,3C147,191230042,191231011,3C286,200101001,200101040,v2.5-298-g312934a,Bandpass phase flagging
191231013,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,191230042,191231011,3C286,200101001,200101040,v2.5-298-g312934a,Bandpass phase flagging
200101041,S2301+4340,345.4625,43.673056,2346789ABCD,41400,good,square_39p1,3C147,200101042,200102010,3C286,200101001,200101040,v2.5-298-g312934a,Bandpass phase flagging
200102011,S1356+5550,209.15,55.833333,2346789ABCD,41400,good,square_39p1,3C147,200101042,200102010,3C286,200103001,200103040,v2.5-298-g312934a,Bandpass phase flagging
200102012,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,200101042,200102010,3C286,200103001,200103040,v2.5-298-g312934a,Bandpass phase flagging
200103041,S2305+4114,346.304167,41.240833,2346789ABCD,41400,good,square_39p1,3C147,200103042,200104009,3C286,200103001,200103040,v2.5-298-g312934a,Bandpass phase flagging
200104010,S1407+5815,211.891667,58.265556,2346789ABCD,41400,good,square_39p1,3C147,200103042,200104009,3C286,200105001,200105040,v2.5-298-g312934a,Bandpass phase flagging
200104011,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,200103042,200104009,3C286,200105001,200105040,v2.5-5-g504d478,Autocorrelation flagging
200105041,S2310+3622,347.683333,36.376667,2346789ABCD,41400,good,square_39p1,3C147,200105042,200106008,3C286,200105001,200105040,v2.5-298-g312934a,Bandpass phase flagging
200106009,M1403+5324,210.85,53.401389,2346789ABCD,41400,good,square_39p1,3C147,200105042,200106008,3C286,200107001,200107040,v2.5-298-g312934a,Bandpass phase flagging
200106010,M0155+3356,28.829167,33.944444,2346789ABCD,41400,good,square_39p1,3C147,200105042,200106008,3C286,200107001,200107040,v2.5-298-g312934a,Bandpass phase flagging
200108171,S1026+6041,156.5,60.6975,2346789ABCD,41400,good,square_39p1,3C147,200108131,200108170,3C138,200109002,200110006,v2.5-298-g312934a,Bandpass phase flagging
200109001,S2315+3356,348.829167,33.944444,2346789ABCD,37440,good,square_39p1,3C147,200108131,200108170,3C138,200109002,200110006,v2.5-298-g312934a,Bandpass phase flagging
200110007,S1415+5550,213.95,55.833333,2346789ABCD,41400,good,square_39p1,3C196,200111001,200111040,3C138,200109002,200110006,v2.5-298-g312934a,Bandpass phase flagging
200110008,M0209+3622,32.254167,36.376667,2346789ABCD,41400,good,square_39p1,3C196,200111001,200111040,3C138,200109002,200110006,v2.5-298-g312934a,Bandpass phase flagging
