ObsID,Name,Beam,RA,Dec,V valid,QU valid,sigma_in,sigma_out,FT_max,peak_inner,bmin,Q_beam_frac,U_beam_frac,Q_noise_frac,U_noise_frac
190823042,M0155+3130,22,27.868373,31.715174,True,True,50.4,49.8,14.9,1338.6,11.2,0.08,0.08,0.17,0.17
190823042,M0155+3130,23,28.417398,31.715174,True,True,42.6,42.1,6.7,1420.2,11.2,0.08,0.08,0.12,0.12
190823042,M0155+3130,27,27.593860,32.120522,True,True,52.2,52.3,7.4,601.6,11.2,0.08,0.08,0.21,0.21
190823042,M0155+3130,28,28.142885,32.120522,True,True,45.5,44.9,8.7,2223.1,11.2,0.08,0.08,0.17,0.17
190823042,M0155+3130,29,28.691911,32.120522,True,True,44.7,44.7,6.2,708.4,11.2,0.08,0.08,0.12,0.12
190823042,M0155+3130,31,29.789961,32.120522,False,True,61.4,48.3,9.1,6354.4,11.1,0.08,0.08,0.21,0.17
190823042,M0155+3130,34,27.868373,32.525870,True,True,50.4,50.6,9.8,457.5,11.2,0.08,0.08,0.21,0.21
190824041,S2154+4606,3,327.881151,45.091630,True,True,51.7,51.4,5.6,403.9,12.1,0.08,0.08,0.29,0.29
190824041,S2154+4606,10,328.218691,45.496978,False,True,57.3,45.6,5.7,8229.7,12.2,0.08,0.08,0.29,0.21
190824041,S2154+4606,16,327.881151,45.902326,True,True,45.0,45.2,7.5,238.4,12.2,0.08,0.08,0.17,0.17
190824041,S2154+4606,17,328.556230,45.902326,True,True,46.7,46.4,6.3,545.2,12.2,0.08,0.08,0.25,0.17
190824041,S2154+4606,22,327.543612,46.307674,True,True,51.8,50.9,7.5,1527.6,12.2,0.08,0.08,0.25,0.25
190824041,S2154+4606,23,328.218691,46.307674,True,True,46.0,45.7,5.1,1492.7,12.2,0.08,0.08,0.17,0.17
190824041,S2154+4606,28,327.881151,46.713022,True,True,46.1,45.5,7.4,2257.2,12.3,0.08,0.08,0.21,0.21
190824041,S2154+4606,30,329.231309,46.713022,True,True,48.5,48.0,8.0,545.6,12.3,0.08,0.08,0.25,0.21
190906044,S1025+5550,0,156.350000,55.833333,True,True,31.8,31.5,2.8,382.9,12.1,0.08,0.08,0.08,0.08
190906044,S1025+5550,1,153.641338,54.819963,True,True,50.4,44.5,7.7,2774.6,12.5,0.08,0.08,0.12,0.17
190906044,S1025+5550,2,154.474773,54.819963,True,True,32.6,32.2,3.1,731.8,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,4,156.141641,54.819963,True,True,31.8,31.1,3.0,1102.6,12.5,0.08,0.08,0.08,0.08
190906044,S1025+5550,5,156.975076,54.819963,True,True,30.9,30.5,5.9,845.1,12.3,0.08,0.08,0.08,0.08
190906044,S1025+5550,6,157.808510,54.819963,True,True,42.8,40.6,8.2,1326.2,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,8,154.058056,55.225311,True,True,38.0,37.7,14.8,501.0,12.6,0.08,0.08,0.08,0.08
190906044,S1025+5550,9,154.891490,55.225311,True,True,32.9,32.2,6.0,1820.2,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,10,155.724924,55.225311,True,True,28.2,28.0,3.1,1098.5,12.2,0.08,0.08,0.08,0.08
190906044,S1025+5550,11,156.558359,55.225311,True,True,29.3,28.8,4.0,1205.8,12.3,0.08,0.08,0.08,0.08
190906044,S1025+5550,15,154.474773,55.630659,True,True,38.8,38.1,9.6,1622.1,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,16,155.308207,55.630659,True,True,34.4,34.0,13.9,586.4,12.4,0.08,0.08,0.12,0.12
190906044,S1025+5550,18,156.975076,55.630659,True,True,35.1,34.2,4.0,1039.8,12.2,0.08,0.08,0.08,0.08
190906044,S1025+5550,23,155.724924,56.036007,True,True,31.0,30.8,8.8,1333.0,12.6,0.08,0.08,0.12,0.12
190906044,S1025+5550,24,156.558359,56.036007,True,True,32.7,32.5,3.1,1159.3,12.5,0.08,0.08,0.08,0.08
190906044,S1025+5550,30,156.975076,56.441355,True,True,31.2,30.8,3.4,798.6,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,33,154.058056,56.846703,True,True,40.9,40.6,14.5,519.5,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,36,156.558359,56.846703,True,True,30.9,30.9,3.0,954.6,12.4,0.08,0.08,0.08,0.08
190906044,S1025+5550,37,157.391793,56.846703,True,True,33.3,32.2,2.8,2163.9,12.4,0.08,0.08,0.08,0.08
190906045,S2204+3848,0,331.012500,38.808889,True,True,33.7,33.2,4.0,427.8,11.6,0.08,0.08,0.08,0.08
190906045,S2204+3848,3,330.261675,37.795519,True,True,31.4,31.0,3.9,1382.4,11.8,0.08,0.08,0.08,0.08
190906045,S2204+3848,4,330.862335,37.795519,True,True,31.9,31.7,4.3,1138.6,11.7,0.08,0.08,0.08,0.08
190906045,S2204+3848,15,329.661016,38.606215,True,True,40.3,39.6,3.3,1654.8,11.7,0.08,0.08,0.12,0.12
190906045,S2204+3848,18,331.462995,38.606215,True,True,35.2,34.9,4.3,999.3,11.6,0.08,0.08,0.08,0.08
190906045,S2204+3848,23,330.562005,39.011563,True,True,30.8,30.5,3.7,1323.4,12.1,0.08,0.08,0.12,0.12
190906045,S2204+3848,28,330.261675,39.416911,False,True,37.7,36.8,31.2,731.6,12.0,0.08,0.08,0.12,0.12
190906045,S2204+3848,33,329.360686,39.822259,True,True,43.2,42.4,8.4,1756.4,11.7,0.08,0.08,0.12,0.12
190907041,S1342+6041,3,204.396226,59.684130,True,True,34.7,34.6,2.9,513.2,12.9,0.08,0.08,0.08,0.08
190907041,S1342+6041,23,204.874402,60.900174,True,True,43.5,43.3,18.0,613.6,13.2,0.12,0.12,0.12,0.12
190907041,S1342+6041,27,203.439874,61.305522,True,True,51.0,50.9,7.4,518.7,13.3,0.08,0.08,0.12,0.12
190907041,S1342+6041,29,205.352579,61.305522,True,False,44.5,44.2,3.8,455.7,14.0,0.92,0.92,0.08,0.08
190907042,M0155+3130,3,28.142885,30.499130,True,True,35.4,35.4,15.2,263.6,11.1,0.08,0.08,0.08,0.08
190907042,M0155+3130,9,27.868373,30.904478,True,True,36.6,35.8,4.9,793.9,11.3,0.08,0.08,0.08,0.08
190907042,M0155+3130,10,28.417398,30.904478,True,True,45.0,44.9,4.4,535.7,11.4,0.08,0.08,0.08,0.08
190907042,M0155+3130,27,27.593860,32.120522,True,True,44.6,44.3,4.9,551.6,11.2,0.08,0.08,0.08,0.08
190907042,M0155+3130,28,28.142885,32.120522,False,True,43.1,43.6,26.9,286.9,11.2,0.08,0.08,0.12,0.12
190907042,M0155+3130,29,28.691911,32.120522,True,True,49.1,48.3,4.6,989.4,11.6,0.08,0.08,0.08,0.12
190908041,S2201+4340,3,329.495264,42.659686,True,True,36.1,35.8,6.4,604.1,11.7,0.08,0.08,0.08,0.08
190908041,S2201+4340,10,329.818825,43.065034,True,True,44.9,44.8,5.7,647.7,12.2,0.08,0.08,0.12,0.12
190908041,S2201+4340,25,331.113070,43.875730,True,True,44.1,44.1,5.3,207.5,12.1,0.08,0.08,0.12,0.12
190908041,S2201+4340,27,328.848141,44.281078,False,True,50.2,49.8,33.6,542.6,11.8,0.08,0.08,0.12,0.12
190908041,S2201+4340,29,330.142386,44.281078,True,True,48.5,47.9,5.6,878.6,12.3,0.08,0.08,0.12,0.12
190908041,S2201+4340,30,330.789509,44.281078,True,True,37.4,37.0,10.4,1004.1,11.9,0.08,0.08,0.08,0.08
190908041,S2201+4340,31,331.436631,44.281078,True,True,40.8,40.2,18.8,686.5,11.8,0.08,0.08,0.12,0.12
190908041,S2201+4340,36,330.465947,44.686426,True,True,36.3,36.4,13.8,402.2,11.9,0.08,0.08,0.08,0.08
190913045,M1403+5324,1,208.298547,52.388019,False,True,50.8,50.0,42.5,805.1,12.2,0.08,0.08,0.12,0.12
190913045,M1403+5324,8,208.691078,52.793367,True,True,39.5,39.4,2.8,447.4,12.2,0.08,0.08,0.08,0.08
190913045,M1403+5324,9,209.476141,52.793367,True,True,32.3,32.3,3.6,375.6,12.1,0.08,0.08,0.08,0.08
190913045,M1403+5324,15,209.083609,53.198715,True,True,41.0,40.3,8.3,1197.7,12.1,0.08,0.08,0.08,0.08
190913045,M1403+5324,33,208.691078,54.414759,True,True,44.0,44.0,23.5,1346.5,12.3,0.08,0.08,0.12,0.12
190913046,M0155+3130,1,27.044835,30.499130,True,True,50.5,49.5,6.9,686.2,10.9,0.08,0.08,0.08,0.08
190913046,M0155+3130,3,28.142885,30.499130,True,True,36.5,36.1,7.4,805.5,10.9,0.08,0.08,0.08,0.08
190913046,M0155+3130,6,29.789961,30.499130,True,True,43.4,43.1,4.7,512.0,11.1,0.08,0.08,0.08,0.08
190913046,M0155+3130,8,27.319347,30.904478,True,True,44.4,43.9,7.2,354.7,10.9,0.08,0.08,0.08,0.08
190913046,M0155+3130,9,27.868373,30.904478,True,True,35.4,35.0,5.1,524.9,11.0,0.08,0.08,0.08,0.08
190913046,M0155+3130,10,28.417398,30.904478,True,True,32.7,31.9,8.8,548.6,11.0,0.08,0.08,0.08,0.08
190913046,M0155+3130,11,28.966423,30.904478,True,True,33.6,33.4,5.4,719.1,11.1,0.08,0.08,0.08,0.08
190913046,M0155+3130,15,27.593860,31.309826,True,True,45.7,44.3,4.4,1182.6,10.9,0.08,0.08,0.08,0.08
190913046,M0155+3130,21,27.319347,31.715174,True,True,49.2,48.3,7.6,780.5,10.9,0.08,0.08,0.08,0.08
190913046,M0155+3130,22,27.868373,31.715174,False,True,38.5,37.1,34.3,1739.3,11.0,0.08,0.08,0.08,0.08
190913046,M0155+3130,23,28.417398,31.715174,True,True,35.1,31.1,2.7,1319.5,11.0,0.08,0.08,0.08,0.08
190913046,M0155+3130,27,27.593860,32.120522,True,True,39.3,38.2,10.7,2017.4,11.0,0.08,0.08,0.12,0.12
190913046,M0155+3130,28,28.142885,32.120522,True,True,34.5,34.1,3.6,1092.0,11.2,0.08,0.08,0.08,0.08
190913046,M0155+3130,33,27.319347,32.525870,True,True,46.1,45.6,6.1,1183.1,10.9,0.08,0.08,0.08,0.08
190913046,M0155+3130,34,27.868373,32.525870,True,True,39.6,39.1,10.7,1004.6,11.0,0.08,0.08,0.08,0.08
190913046,M0155+3130,35,28.417398,32.525870,True,True,38.0,35.3,3.0,1754.8,11.0,0.08,0.08,0.08,0.08
190913046,M0155+3130,37,29.515449,32.525870,True,True,38.3,36.6,2.6,1042.0,11.1,0.08,0.08,0.08,0.08
190913046,M0155+3130,38,30.064474,32.525870,True,True,44.7,44.6,5.2,1679.8,11.2,0.08,0.08,0.08,0.08
190914041,S2332+3130,1,351.365668,30.499130,False,True,59.2,48.3,8.1,5038.0,11.1,0.08,0.08,0.12,0.17
190914041,S2332+3130,2,351.914693,30.499130,True,True,40.4,39.7,16.3,1804.1,11.3,0.08,0.08,0.12,0.12
190914041,S2332+3130,3,352.463718,30.499130,True,True,34.8,35.1,12.6,778.8,11.2,0.08,0.08,0.12,0.08
190914041,S2332+3130,5,353.561769,30.499130,True,True,39.4,35.2,6.5,2498.4,11.3,0.08,0.08,0.08,0.08
190914041,S2332+3130,8,351.640180,30.904478,True,True,43.9,40.5,6.9,2339.6,11.2,0.08,0.08,0.08,0.08
