ObsID,Name,Beam,RA,Dec,Pass,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190720041,S2336+2904,6,355.028920,28.066908,False,88.1,58.2,22.2,1.51,244.0,4.6
190720041,S2336+2904,7,355.564493,28.066908,False,96.8,66.5,22.2,1.46,197.0,4.2
190720041,S2336+2904,8,352.618841,28.472256,False,77.0,51.7,22.2,1.49,229.0,4.1
190720041,S2336+2904,9,353.154414,28.472256,False,71.0,49.2,22.6,1.44,204.0,4.4
190720041,S2336+2904,10,353.689987,28.472256,False,99.0,43.8,22.5,2.26,531.0,7.0
190720041,S2336+2904,11,354.225560,28.472256,False,106.8,47.5,25.3,2.25,420.0,6.6
190720041,S2336+2904,12,354.761133,28.472256,False,123.5,69.4,21.8,1.78,368.0,5.9
190720041,S2336+2904,13,355.296706,28.472256,False,117.5,77.6,21.5,1.51,233.0,4.7
190720041,S2336+2904,14,355.832279,28.472256,False,93.8,73.1,21.7,1.28,131.0,3.6
190720041,S2336+2904,15,352.886628,28.877604,False,78.5,52.0,21.5,1.51,254.0,4.4
190720041,S2336+2904,16,353.422201,28.877604,False,75.7,44.7,22.5,1.7,311.0,5.2
190720041,S2336+2904,17,353.957774,28.877604,False,69.2,45.1,22.4,1.53,245.0,4.6
190720041,S2336+2904,18,354.493347,28.877604,False,59.3,45.4,21.9,1.31,132.0,3.6
190720041,S2336+2904,19,355.028920,28.877604,False,69.8,53.0,22.2,1.32,150.0,3.9
190720041,S2336+2904,20,355.564493,28.877604,False,74.8,53.4,21.6,1.4,193.0,4.4
190720041,S2336+2904,21,352.618841,29.282952,False,111.5,59.2,22.0,1.88,410.0,6.8
190720041,S2336+2904,22,353.154414,29.282952,False,81.1,47.7,25.3,1.7,248.0,4.9
190720041,S2336+2904,23,353.689987,29.282952,False,63.7,42.0,22.3,1.52,237.0,4.6
190720041,S2336+2904,24,354.225560,29.282952,False,60.2,42.1,21.8,1.43,193.0,4.0
190720041,S2336+2904,25,354.761133,29.282952,False,71.0,47.2,22.5,1.5,220.0,4.4
190720041,S2336+2904,26,355.296706,29.282952,False,64.5,43.9,22.2,1.47,201.0,4.1
190720041,S2336+2904,27,352.886628,29.688300,False,304.2,75.1,22.2,4.05,798.0,9.8
190720041,S2336+2904,28,353.422201,29.688300,False,103.8,46.1,22.2,2.25,531.0,7.8
190720041,S2336+2904,29,353.957774,29.688300,False,78.8,58.1,21.2,1.36,155.0,3.8
190720041,S2336+2904,30,354.493347,29.688300,False,73.3,51.8,25.3,1.41,140.0,3.9
190720041,S2336+2904,31,355.028920,29.688300,False,70.1,48.5,22.5,1.44,190.0,4.1
190720041,S2336+2904,32,355.564493,29.688300,False,129.1,79.4,22.5,1.63,281.0,6.0
190720041,S2336+2904,33,352.618841,30.093648,False,197.6,72.8,21.5,2.71,738.0,8.9
190720041,S2336+2904,34,353.154414,30.093648,False,227.7,123.3,21.5,1.85,405.0,5.6
190720041,S2336+2904,35,353.689987,30.093648,False,55.4,41.2,11.7,1.34,528.0,7.1
190720041,S2336+2904,36,354.225560,30.093648,False,79.9,49.2,22.2,1.62,299.0,5.4
190720041,S2336+2904,37,354.761133,30.093648,False,94.1,52.5,22.2,1.79,377.0,5.7
190720041,S2336+2904,38,355.296706,30.093648,False,84.4,52.6,21.8,1.6,297.0,5.0
190720041,S2336+2904,39,355.832279,30.093648,False,205.6,102.2,29.3,2.01,260.0,7.1
190721041,S1426+5058,0,216.725000,50.969167,False,52.8,40.2,22.5,1.31,197.0,3.7
190721041,S1426+5058,1,214.309410,49.955797,False,99.9,80.8,22.9,1.24,153.0,3.6
190721041,S1426+5058,2,215.052668,49.955797,False,55.7,46.7,23.0,1.19,130.0,3.5
190721041,S1426+5058,3,215.795927,49.955797,True,40.6,34.3,12.9,1.18,393.0,6.4
190721041,S1426+5058,4,216.539185,49.955797,False,56.2,48.3,22.9,1.16,101.0,3.4
190721041,S1426+5058,5,217.282444,49.955797,False,58.3,46.0,25.8,1.27,143.0,3.7
190721041,S1426+5058,6,218.025702,49.955797,False,80.2,53.4,22.9,1.5,351.0,4.8
190721041,S1426+5058,7,218.768961,49.955797,False,82.3,62.4,22.9,1.32,218.0,4.2
190721041,S1426+5058,8,214.681039,50.361145,False,59.9,48.2,23.0,1.24,146.0,3.6
190721041,S1426+5058,9,215.424298,50.361145,False,56.8,45.8,23.5,1.24,140.0,3.5
190721041,S1426+5058,10,216.167556,50.361145,False,52.4,38.1,23.0,1.37,257.0,4.0
190721041,S1426+5058,11,216.910815,50.361145,False,73.2,43.1,25.8,1.7,391.0,5.6
190721041,S1426+5058,12,217.654073,50.361145,False,89.0,58.6,22.6,1.52,365.0,5.3
190721041,S1426+5058,13,218.397332,50.361145,False,95.3,71.8,22.7,1.33,219.0,4.1
190721041,S1426+5058,14,219.140590,50.361145,False,85.7,68.0,22.5,1.26,162.0,3.8
190721041,S1426+5058,15,215.052668,50.766493,False,131.5,53.9,22.0,2.44,968.0,8.8
190721041,S1426+5058,16,215.795927,50.766493,False,62.1,44.1,23.0,1.41,270.0,4.5
190721041,S1426+5058,17,216.539185,50.766493,False,67.6,49.8,23.0,1.36,229.0,4.0
190721041,S1426+5058,18,217.282444,50.766493,False,65.3,45.8,22.6,1.43,309.0,4.4
190721041,S1426+5058,19,218.025702,50.766493,False,71.0,50.0,23.0,1.42,278.0,4.3
190721041,S1426+5058,20,218.768961,50.766493,False,68.4,52.5,22.3,1.3,220.0,3.9
190721041,S1426+5058,21,214.681039,51.171841,False,93.5,56.8,22.5,1.65,479.0,6.3
190721041,S1426+5058,22,215.424298,51.171841,False,260.2,58.2,25.8,4.47,1070.0,9.8
190721041,S1426+5058,23,216.167556,51.171841,False,57.7,40.4,23.0,1.43,295.0,4.6
190721041,S1426+5058,24,216.910815,51.171841,False,48.8,38.3,22.5,1.27,180.0,3.8
190721041,S1426+5058,25,217.654073,51.171841,False,59.4,45.9,23.5,1.29,175.0,3.7
190721041,S1426+5058,26,218.397332,51.171841,False,74.8,45.1,22.9,1.66,490.0,6.4
190721041,S1426+5058,27,215.052668,51.577189,False,105.2,49.1,23.0,2.14,731.0,8.0
