ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190906044,S1025+5550,15,154.474773,55.630659,43.1,38.0,12.4,1.13,270.0,3.8
190906044,S1025+5550,16,155.308207,55.630659,37.3,33.5,12.4,1.11,239.0,3.9
190906044,S1025+5550,18,156.975076,55.630659,38.9,33.4,12.2,1.17,377.0,4.3
190906044,S1025+5550,23,155.724924,56.036007,37.9,31.2,12.6,1.21,456.0,4.1
190906044,S1025+5550,24,156.558359,56.036007,35.8,31.7,12.5,1.13,279.0,3.8
190906044,S1025+5550,30,156.975076,56.441355,34.0,30.1,12.4,1.13,254.0,3.7
190906044,S1025+5550,33,154.058056,56.846703,47.9,40.6,12.4,1.18,418.0,4.4
190906044,S1025+5550,36,156.558359,56.846703,36.8,30.9,12.4,1.19,455.0,4.1
190906044,S1025+5550,37,157.391793,56.846703,39.0,31.9,12.4,1.22,531.0,4.1
190906045,S2204+3848,0,331.012500,38.808889,36.5,31.0,11.6,1.18,309.0,3.9
190906045,S2204+3848,3,330.261675,37.795519,37.0,30.6,11.8,1.21,375.0,4.7
190906045,S2204+3848,4,330.862335,37.795519,37.2,31.6,11.7,1.18,286.0,4.0
190906045,S2204+3848,15,329.661016,38.606215,44.3,39.7,11.7,1.12,157.0,3.5
190906045,S2204+3848,18,331.462995,38.606215,39.9,34.5,11.6,1.16,286.0,3.8
190906045,S2204+3848,23,330.562005,39.011563,37.6,30.8,12.1,1.22,432.0,4.3
190906045,S2204+3848,28,330.261675,39.416911,45.5,37.2,12.0,1.22,399.0,4.2
190906045,S2204+3848,33,329.360686,39.822259,48.0,41.8,11.7,1.15,282.0,4.0
190907041,S1342+6041,3,204.396226,59.684130,39.9,34.6,12.9,1.15,385.0,6.0
190907041,S1342+6041,23,204.874402,60.900174,49.9,43.0,13.2,1.16,398.0,5.1
190907041,S1342+6041,27,203.439874,61.305522,57.2,50.7,13.3,1.13,272.0,4.5
190907041,S1342+6041,29,205.352579,61.305522,48.0,44.4,14.0,1.08,173.0,4.1
190907042,M0155+3130,3,28.142885,30.499130,40.9,35.6,11.1,1.15,199.0,3.6
190907042,M0155+3130,9,27.868373,30.904478,43.9,36.0,11.3,1.22,352.0,4.6
190907042,M0155+3130,10,28.417398,30.904478,51.2,44.8,11.4,1.14,191.0,3.9
190907042,M0155+3130,27,27.593860,32.120522,51.8,43.7,11.2,1.19,291.0,4.3
190907042,M0155+3130,28,28.142885,32.120522,50.0,44.5,11.2,1.12,170.0,3.7
190907042,M0155+3130,29,28.691911,32.120522,55.1,48.1,11.6,1.14,185.0,3.7
190908041,S2201+4340,3,329.495264,42.659686,42.4,35.8,11.7,1.18,341.0,4.0
190908041,S2201+4340,10,329.818825,43.065034,49.4,44.7,12.2,1.1,167.0,4.0
190908041,S2201+4340,25,331.113070,43.875730,50.6,44.1,12.1,1.15,256.0,3.7
190908041,S2201+4340,27,328.848141,44.281078,57.9,48.3,11.8,1.2,372.0,4.7
190908041,S2201+4340,29,330.142386,44.281078,55.6,47.7,12.3,1.17,306.0,5.7
190908041,S2201+4340,30,330.789509,44.281078,44.1,37.4,11.9,1.18,335.0,4.6
190908041,S2201+4340,31,331.436631,44.281078,47.1,40.3,11.8,1.17,296.0,3.9
