ObsID,Name,Beam,RA,Dec,cube2_qual,cube1_qual,cube0_qual,sigma_c2,sigma_c1,sigma_c0,f_ex_c2,f_ex_c1,f_ex_c0,p_0.8_c2,p_0.8_c1,p_0.8_c0
190823042,M0155+3130,5,29.240936,30.499130,B,B,B,2.12,2.69,2.09,-3.28,-3.56,-2.82,6.10,4.42,6.13
190823042,M0155+3130,10,28.417398,30.904478,B,B,G,1.95,2.35,1.82,-3.76,-5.53,-2.86,5.69,4.36,5.56
190823042,M0155+3130,11,28.966423,30.904478,B,B,G,2.42,2.56,1.89,-3.56,-5.60,-2.87,5.81,4.33,5.62
190823042,M0155+3130,16,28.142885,31.309826,B,B,G,1.81,2.35,1.86,-4.04,-5.43,-2.90,5.49,4.40,5.60
190823042,M0155+3130,22,27.868373,31.715174,B,B,G,2.01,2.47,1.91,-4.11,-5.33,-2.92,5.38,4.44,5.58
190823042,M0155+3130,23,28.417398,31.715174,B,B,G,1.79,2.31,1.80,-4.05,-5.55,-2.85,5.42,4.37,5.53
190823042,M0155+3130,27,27.593860,32.120522,B,B,G,2.26,3.14,2.15,-3.80,-5.33,-2.75,5.70,4.42,6.13
190823042,M0155+3130,28,28.142885,32.120522,B,B,G,1.90,2.36,1.85,-3.99,-5.52,-2.85,5.57,4.35,5.47
190823042,M0155+3130,29,28.691911,32.120522,B,B,G,1.97,2.32,1.86,-3.89,-5.42,-2.95,5.58,4.36,5.76
190823042,M0155+3130,31,29.789961,32.120522,B,B,G,1.99,3.33,1.98,-4.19,-5.52,-2.38,5.32,4.36,7.25
190823042,M0155+3130,34,27.868373,32.525870,B,B,G,2.15,2.65,2.09,-3.90,-5.51,-2.90,5.62,4.38,5.73
190824041,S2154+4606,3,327.881151,45.091630,B,B,O,1.89,2.31,2.00,-4.28,-5.12,-3.83,5.14,4.50,5.19
190824041,S2154+4606,10,328.218691,45.496978,B,B,B,2.01,2.29,2.07,-3.45,-3.45,-3.46,5.11,4.64,4.92
190824041,S2154+4606,16,327.881151,45.902326,B,B,O,1.79,2.13,1.93,-4.30,-5.05,-4.13,5.12,4.56,5.05
190824041,S2154+4606,17,328.556230,45.902326,B,B,O,1.76,2.24,1.88,-4.31,-5.16,-3.76,5.09,4.53,5.35
190824041,S2154+4606,22,327.543612,46.307674,B,B,O,2.05,2.38,1.99,-4.38,-5.06,-3.83,5.04,4.52,5.16
190824041,S2154+4606,23,328.218691,46.307674,B,B,O,1.72,2.02,1.85,-4.39,-5.18,-4.04,5.03,4.51,4.99
190824041,S2154+4606,28,327.881151,46.713022,B,B,O,1.84,2.12,1.89,-4.40,-5.04,-3.99,5.03,4.58,5.05
190824041,S2154+4606,30,329.231309,46.713022,B,B,O,1.83,2.28,1.94,-4.35,-5.09,-3.63,5.11,4.52,5.30
190906044,S1025+5550,0,156.350000,55.833333,G,G,G,1.33,1.38,1.42,-6.05,-5.95,-6.14,4.26,4.22,4.23
190906044,S1025+5550,1,153.641338,54.819963,G,G,G,1.88,2.11,2.01,-6.15,-6.14,-6.00,4.20,4.21,4.31
190906044,S1025+5550,2,154.474773,54.819963,G,G,G,1.49,1.54,1.61,-5.44,-5.52,-5.49,4.23,4.27,4.30
190906044,S1025+5550,4,156.141641,54.819963,G,G,G,1.44,1.45,1.47,-5.93,-6.08,-5.97,4.27,4.23,4.23
190906044,S1025+5550,5,156.975076,54.819963,G,G,G,1.35,1.42,1.47,-5.98,-6.00,-6.03,4.24,4.26,4.23
190906044,S1025+5550,6,157.808510,54.819963,G,G,G,1.83,1.90,1.94,-5.90,-6.01,-5.93,4.24,4.26,4.23
190906044,S1025+5550,8,154.058056,55.225311,G,G,G,1.69,1.73,1.75,-6.17,-6.11,-6.16,4.19,4.20,4.19
190906044,S1025+5550,9,154.891490,55.225311,G,G,G,1.48,1.51,1.50,-5.94,-6.00,-5.99,4.24,4.24,4.27
190906044,S1025+5550,10,155.724924,55.225311,G,G,G,1.27,1.31,1.35,-6.02,-6.14,-5.86,4.24,4.21,4.25
190906044,S1025+5550,11,156.558359,55.225311,G,G,G,1.28,1.39,1.36,-6.02,-5.89,-5.93,4.21,4.26,4.22
190906044,S1025+5550,15,154.474773,55.630659,G,G,G,1.56,1.62,1.69,-5.94,-6.10,-5.99,4.23,4.23,4.22
190906044,S1025+5550,16,155.308207,55.630659,O,G,G,1.30,1.34,1.38,-5.28,-6.24,-6.18,4.22,4.16,4.18
190906044,S1025+5550,18,156.975076,55.630659,G,G,G,1.58,1.61,1.58,-6.10,-6.08,-6.11,4.24,4.23,4.19
190906044,S1025+5550,23,155.724924,56.036007,G,G,G,1.30,1.35,1.40,-5.92,-6.11,-5.89,4.25,4.21,4.23
190906044,S1025+5550,24,156.558359,56.036007,G,G,O,1.39,1.45,1.70,-5.67,-4.64,-5.72,4.29,4.78,4.30
190906044,S1025+5550,30,156.975076,56.441355,G,O,B,1.36,1.69,2.14,-5.94,-3.78,-4.94,4.23,5.96,4.56
190906044,S1025+5550,33,154.058056,56.846703,G,G,G,1.78,1.83,1.88,-5.83,-5.90,-5.90,4.29,4.24,4.27
190906044,S1025+5550,36,156.558359,56.846703,G,G,G,1.41,1.43,1.48,-5.98,-6.04,-5.95,4.24,4.25,4.24
190906044,S1025+5550,37,157.391793,56.846703,G,O,O,1.67,2.17,2.47,-5.75,-5.29,-5.27,4.31,4.37,4.50
190906045,S2204+3848,0,331.012500,38.808889,G,G,G,1.35,1.41,1.44,-6.02,-6.05,-5.98,4.23,4.26,4.21
190906045,S2204+3848,3,330.261675,37.795519,G,G,G,1.36,1.40,1.43,-5.95,-5.92,-5.80,4.23,4.27,4.24
190906045,S2204+3848,4,330.862335,37.795519,G,G,G,1.41,1.43,1.45,-6.05,-5.97,-5.90,4.21,4.23,4.25
190906045,S2204+3848,15,329.661016,38.606215,G,G,G,1.55,1.61,1.68,-5.89,-5.94,-5.86,4.22,4.25,4.27
190906045,S2204+3848,18,331.462995,38.606215,G,G,G,1.69,1.64,1.58,-6.01,-5.96,-5.98,4.22,4.20,4.18
190906045,S2204+3848,23,330.562005,39.011563,G,G,G,1.32,1.39,1.43,-5.91,-6.02,-5.80,4.21,4.20,4.24
190906045,S2204+3848,28,330.261675,39.416911,G,G,B,1.46,1.51,1.71,-5.73,-4.49,-5.63,4.33,4.87,4.31
190906045,S2204+3848,33,329.360686,39.822259,G,G,G,1.85,1.88,1.92,-5.89,-5.97,-5.75,4.27,4.27,4.31
190907041,S1342+6041,3,204.396226,59.684130,B,B,B,5.72,4.05,3.39,-3.86,-5.45,-4.44,5.39,4.35,4.92
190907041,S1342+6041,23,204.874402,60.900174,O,O,O,1.88,2.05,2.29,-5.19,-5.20,-5.10,4.46,4.56,4.45
190907041,S1342+6041,27,203.439874,61.305522,O,G,O,2.34,2.29,2.49,-4.98,-5.04,-5.31,4.50,4.58,4.45
190907041,S1342+6041,29,205.352579,61.305522,B,B,B,2.98,3.00,3.45,-4.28,-3.67,-4.28,5.01,5.78,5.05
190907042,M0155+3130,3,28.142885,30.499130,G,G,G,1.55,1.60,1.64,-5.77,-5.85,-5.86,4.29,4.30,4.29
190907042,M0155+3130,9,27.868373,30.904478,G,G,G,1.63,1.67,1.70,-5.76,-5.79,-5.78,4.29,4.25,4.34
190907042,M0155+3130,10,28.417398,30.904478,G,G,G,1.60,1.65,1.70,-5.73,-5.80,-5.78,4.28,4.29,4.34
190907042,M0155+3130,27,27.593860,32.120522,G,O,O,1.96,2.10,2.28,-5.31,-4.61,-5.26,4.38,4.82,4.43
190907042,M0155+3130,28,28.142885,32.120522,G,G,B,1.65,1.74,1.96,-5.52,-4.50,-5.47,4.42,4.83,4.37
190907042,M0155+3130,29,28.691911,32.120522,G,G,B,1.62,1.67,1.94,-5.67,-4.28,-5.69,4.33,5.03,4.31
190908041,S2201+4340,3,329.495264,42.659686,G,G,G,1.56,1.64,1.70,-5.82,-5.85,-5.89,4.29,4.28,4.26
190908041,S2201+4340,10,329.818825,43.065034,G,G,G,1.62,1.69,1.74,-5.82,-5.80,-5.75,4.32,4.28,4.28
190908041,S2201+4340,25,331.113070,43.875730,B,B,B,7.15,2.78,2.46,-3.17,-3.71,-2.65,6.99,5.68,7.13
190908041,S2201+4340,27,328.848141,44.281078,G,G,O,1.90,2.02,2.23,-5.59,-4.58,-5.49,4.37,4.74,4.42
190908041,S2201+4340,29,330.142386,44.281078,G,G,B,1.71,1.77,2.04,-5.63,-4.29,-5.81,4.35,5.05,4.33
190908041,S2201+4340,30,330.789509,44.281078,G,G,B,1.61,1.70,2.51,-5.64,-3.45,-5.60,4.37,6.28,4.36
190908041,S2201+4340,31,331.436631,44.281078,G,G,G,1.78,1.83,1.87,-5.46,-5.59,-5.33,4.41,4.32,4.39
190908041,S2201+4340,36,330.465947,44.686426,B,B,B,1.65,1.73,1.80,-4.17,-3.96,-4.06,4.33,4.26,4.31
190913045,M1403+5324,1,208.298547,52.388019,G,G,G,2.00,2.06,2.09,-5.96,-5.87,-5.74,4.27,4.25,4.28
190913045,M1403+5324,8,208.691078,52.793367,G,G,G,1.82,1.83,1.84,-5.90,-5.91,-5.91,4.26,4.24,4.30
190913045,M1403+5324,9,209.476141,52.793367,G,G,G,1.52,1.57,1.59,-5.92,-5.87,-5.96,4.24,4.22,4.21
190913045,M1403+5324,15,209.083609,53.198715,B,G,G,1.98,1.81,1.72,-3.40,-5.94,-5.89,4.04,4.23,4.24
190913045,M1403+5324,33,208.691078,54.414759,G,G,G,1.98,1.94,1.93,-5.89,-5.99,-5.97,4.26,4.25,4.24
190913046,M0155+3130,1,27.044835,30.499130,G,G,G,2.18,2.25,2.37,-5.92,-5.90,-5.82,4.25,4.25,4.27
190913046,M0155+3130,3,28.142885,30.499130,G,G,G,1.58,1.64,1.72,-5.88,-5.90,-5.98,4.22,4.25,4.24
190913046,M0155+3130,6,29.789961,30.499130,G,G,G,1.94,2.05,2.13,-5.94,-5.95,-5.90,4.26,4.22,4.26
190913046,M0155+3130,8,27.319347,30.904478,G,G,G,1.96,2.03,2.07,-5.95,-5.90,-5.85,4.28,4.28,4.26
190913046,M0155+3130,9,27.868373,30.904478,G,G,G,1.62,1.66,1.70,-5.85,-5.95,-5.96,4.28,4.26,4.26
190913046,M0155+3130,10,28.417398,30.904478,G,G,G,1.43,1.48,1.53,-5.96,-6.01,-5.92,4.27,4.30,4.26
190913046,M0155+3130,11,28.966423,30.904478,G,G,G,1.47,1.51,1.56,-5.93,-5.96,-5.96,4.23,4.23,4.26
